time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,EE_ImpactVel_1,EE_ImpactVel_2,EE_ImpactVel_3,EE_ImpactVel_4,EE_ImpactVel_5,EE_ImpactVel_6,EE_ImpactVel_7,EE_ImpactVel_8,EE_ImpactVel_9,EE_ImpactVel_10,EE_ImpactVel_11,EE_ImpactVel_12,EE_ImpactVel_13,EE_ImpactVel_14,EE_ImpactVel_15,EE_ImpactVel_16,EE_ImpactVel_17,EE_ImpactVel_18,EE_ImpactVel_19,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,EE_CRI_1,EE_CRI_2,EE_CRI_3,EE_CRI_4,EE_CRI_5,EE_CRI_6,EE_CRI_7,EE_CRI_8,EE_CRI_9,EE_CRI_10,EE_CRI_11,EE_CRI_12,EE_CRI_13,EE_CRI_14,EE_CRI_15,EE_CRI_16,EE_CRI_17,EE_CRI_18,EE_CRI_19,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,EE_modi_velocity_percentage1,EE_modi_velocity_percentage2,EE_modi_velocity_percentage3,EE_modi_velocity_percentage4,EE_modi_velocity_percentage5,EE_modi_velocity_percentage6,EE_modi_velocity_percentage7,EE_modi_velocity_percentage8,EE_modi_velocity_percentage9,EE_modi_velocity_percentage10,EE_modi_velocity_percentage11,EE_modi_velocity_percentage12,EE_modi_velocity_percentage13,EE_modi_velocity_percentage14,EE_modi_velocity_percentage15,EE_modi_velocity_percentage16,EE_modi_velocity_percentage17,EE_modi_velocity_percentage18,EE_modi_velocity_percentage19,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,EE_PFLFlag_1,EE_PFLFlag_2,EE_PFLFlag_3,EE_PFLFlag_4,EE_PFLFlag_5,EE_PFLFlag_6,EE_PFLFlag_7,EE_PFLFlag_8,EE_PFLFlag_9,EE_PFLFlag_10,EE_PFLFlag_11,EE_PFLFlag_12,EE_PFLFlag_13,EE_PFLFlag_14,EE_PFLFlag_15,EE_PFLFlag_16,EE_PFLFlag_17,EE_PFLFlag_18,EE_PFLFlag_19,max_ImpactVel,max_CRI,max_modi_velocity_percentage
1.000000,0.000000,66.413229,52.180207,39.783982,115.194892,96.228490,149.604431,151.348608,151.375352,151.320811,151.369542,150.127916,150.159140,150.144389,150.112057,150.378149,150.372871,150.345355,150.342758,151.058491,151.023046,151.025653,151.053211,151.210510,151.169257,150.190852,150.206536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.982369,0.000000,0.687738,0.000000,1.149831,0.000000,0.701336,0.772033,0.791411,0.798798,0.456086,0.719896,0.724822,0.743914,0.609812,0.737661,0.651122,0.694439,0.767167,0.503362,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,66.830615,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,151.375352,1.149831,66.830615,
1.100000,0.000000,42.683984,33.219538,25.176850,74.524134,62.334638,96.636841,97.846443,97.865011,97.827572,97.861486,97.000052,97.021739,97.012308,96.989702,97.174765,97.171136,97.151807,97.149921,97.646485,97.621613,97.623505,97.642855,97.751773,97.723040,97.044638,97.055652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.888783,0.000000,0.643428,0.000000,0.988893,0.000000,0.579598,0.698410,0.704028,0.709035,0.387679,0.661834,0.669078,0.664281,0.503132,0.678761,0.573925,0.649598,0.695029,0.417642,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97.865011,0.988893,100.000000,
1.200000,0.000000,18.954739,14.673259,11.082517,33.216725,27.803830,43.035739,43.595179,43.603791,43.586549,43.602283,43.203753,43.213810,43.209643,43.199125,43.284867,43.283194,43.274178,43.273282,43.503018,43.491424,43.492321,43.501345,43.551676,43.538348,43.224609,43.229746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644086,0.000000,0.485729,0.000000,0.682227,0.000000,0.400296,0.504513,0.494476,0.504432,0.241163,0.472372,0.484285,0.495219,0.362027,0.507654,0.399273,0.495597,0.501662,0.303346,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.603791,0.682227,100.000000,
1.300000,0.000000,1.808265,10.197230,11.966365,10.780431,9.613126,10.098711,10.062840,10.042730,10.050174,10.029281,10.094123,10.073684,10.052187,10.071937,10.036175,10.036594,10.054036,10.058728,10.018947,10.041489,10.036800,10.019368,10.020811,10.031585,10.056667,10.046530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267972,0.000000,0.246604,0.000000,0.223781,0.000000,0.184882,0.215318,0.095485,0.234921,0.190157,0.221800,0.172717,0.188160,0.242575,0.231544,0.203315,0.237482,0.239737,0.164345,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.966365,0.267972,100.000000,
1.400000,0.000000,10.795324,60.836029,71.422108,64.541162,57.607961,60.522718,60.313193,60.195246,60.237904,60.115379,60.496015,60.376125,60.248479,60.364267,60.154027,60.156331,60.258620,60.286303,60.053361,60.185566,60.157904,60.055670,60.064372,60.127552,60.274124,60.214661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.741898,0.000000,0.678416,0.000000,0.598066,0.000000,0.508650,0.558488,0.228801,0.642807,0.518910,0.565181,0.488303,0.452402,0.659339,0.638658,0.534146,0.650536,0.651993,0.472766,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.422108,0.741898,100.000000,
1.500000,0.000000,19.782383,111.314944,130.812192,119.082821,106.540588,111.950480,111.586814,111.380348,111.450358,111.235933,111.904406,111.694504,111.463761,111.666210,111.295793,111.299086,111.478116,111.527332,111.120981,111.352366,111.303193,111.124282,111.140527,111.251084,111.505668,111.401547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.954790,0.000000,0.875986,0.000000,0.758343,0.000000,0.655905,0.692147,0.337504,0.776031,0.653158,0.679411,0.621815,0.594636,0.818573,0.800657,0.642861,0.820364,0.792280,0.615798,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.812192,0.954790,100.000000,
1.600000,0.000000,28.769441,161.573715,190.111783,175.054987,157.208164,165.226367,164.742955,164.466161,164.548263,164.260883,165.165152,164.883657,164.555852,164.826672,164.323512,164.326056,164.566019,164.633912,164.091252,164.401379,164.333555,164.093803,164.117802,164.265986,164.604336,164.464658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.076420,0.000000,0.987623,0.000000,0.844904,0.000000,0.711115,0.760685,0.360654,0.768228,0.692577,0.725502,0.662312,0.689778,0.888101,0.868999,0.681940,0.895755,0.801402,0.669009,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,79.186347,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,190.111783,1.076420,79.186347,
1.700000,0.000000,37.756500,211.682726,249.349827,233.107428,210.436828,221.210809,220.654465,220.336167,220.406463,220.076046,221.138800,220.814908,220.399924,220.710154,220.116790,220.115869,220.391733,220.473747,219.850549,220.207071,220.125155,219.849627,219.880979,220.051467,220.439454,220.278633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.501760,1.191258,0.000000,1.096519,0.000000,0.921016,0.000000,0.744153,0.812540,0.352365,0.760627,0.714400,0.761396,0.699267,0.793020,0.948288,0.929229,0.720060,0.958769,0.758819,0.688682,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,60.589232,100.000000,76.094276,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,249.349827,1.191258,60.589232,
1.800000,0.000000,46.199055,258.856629,305.040716,290.446428,263.955973,277.488963,276.921406,276.606643,276.631270,276.304398,277.409650,277.089009,276.607584,276.912163,276.295535,276.287440,276.560143,276.648614,276.027394,276.379845,276.291504,276.019287,276.055789,276.224827,276.615675,276.456246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.534621,1.279099,0.000000,1.193855,0.000000,0.992755,0.000000,0.757004,0.848151,0.300697,0.792206,0.722296,0.784557,0.748512,0.893453,0.991729,0.984546,0.000000,1.011670,0.785548,0.694051,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,51.112000,100.000000,59.187213,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,95.230504,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,305.040716,1.279099,51.112000,
1.900000,0.000000,37.211996,208.734702,245.798206,238.064274,217.787089,228.931098,228.556387,228.365830,228.334858,228.136664,228.870691,228.676224,228.311932,228.494090,228.088348,228.076089,228.241125,228.302240,227.915877,228.129209,228.068201,227.903599,227.930121,228.033138,228.284504,228.187562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.470120,1.151079,0.000000,1.112135,0.000000,0.904173,0.000000,0.692563,0.787051,0.174325,0.744550,0.672656,0.743252,0.714573,0.883165,0.908305,0.943568,0.718395,0.960887,0.734229,0.646034,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,67.676820,100.000000,73.194982,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,245.798206,1.151079,67.676820,
