time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
1.500000,0.000000,0.018197,45.650071,45.668218,150.727764,150.770146,150.526365,150.553820,0.000000,0.000000,0.259600,0.273958,0.228864,0.233390,0.073849,0.066165,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.770146,0.273958,300.000000,
1.600000,0.000000,0.018046,57.637663,57.655644,192.387546,192.481855,191.919536,191.943204,0.000000,0.000000,0.299870,0.316174,0.217275,0.221775,0.069293,0.060895,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.481855,0.316174,300.000000,
1.700000,0.000000,0.017995,65.130936,65.148840,224.957045,224.963692,224.929111,224.930518,0.000000,0.000000,0.322151,0.339430,0.168848,0.172580,0.071459,0.032312,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,224.963692,0.339430,300.000000,
1.800000,0.000000,0.017995,66.580791,66.598665,238.357803,238.470968,237.797472,237.721492,0.000000,0.000000,0.325983,0.343386,0.030246,0.032976,0.083794,0.003026,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,238.470968,0.343386,300.000000,
1.900000,0.000000,0.017995,64.733651,64.751493,234.810283,234.859903,234.562523,234.505555,0.000000,0.000000,0.320611,0.337727,0.164240,0.191520,0.113153,0.029344,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,234.859903,0.337727,300.000000,
2.000000,0.000000,0.004875,57.521694,57.516870,213.468186,213.589400,212.885952,212.695957,0.000000,0.000000,0.298678,0.314668,0.222028,0.258755,0.153577,0.058890,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,213.589400,0.314668,300.000000,
2.100000,0.000000,0.005367,45.137272,45.142572,169.344604,169.404952,169.052492,168.931953,0.000000,0.000000,0.256824,0.270757,0.238342,0.277869,0.170102,0.066989,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,169.404952,0.277869,300.000000,
2.200000,0.000000,0.012536,32.423247,32.435611,124.983168,124.996802,124.906958,124.872263,0.000000,0.000000,0.211492,0.222962,0.222450,0.261078,0.159682,0.059660,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.996802,0.261078,300.000000,
2.300000,0.000000,0.000178,19.068415,19.068240,74.598090,74.638979,74.405664,74.308152,0.000000,0.000000,0.162257,0.171275,0.183136,0.218088,0.122384,0.036031,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.638979,0.218088,300.000000,
2.400000,0.000000,0.002085,7.595702,7.597755,30.440438,30.428139,30.496076,30.525518,0.000000,0.000000,0.092459,0.096579,0.103635,0.117900,0.081771,0.017534,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.525518,0.117900,300.000000,
2.500000,0.000000,0.005459,1.803286,1.808660,7.864793,7.844466,7.955527,8.001019,0.000000,0.000000,0.060484,0.062900,0.068425,0.070557,0.044363,0.005926,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.001019,0.070557,300.000000,
2.600000,0.000000,1.686196,2.698022,1.123941,2.404520,3.036790,4.056708,4.029847,0.000000,0.061583,0.066511,0.046410,0.025116,0.072688,0.083747,0.014154,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.056708,0.083747,300.000000,
2.700000,0.000000,10.539135,7.730024,5.322332,13.600420,12.482341,21.097411,20.843632,0.000000,0.119164,0.086918,0.081403,0.063851,0.181653,0.208255,0.051570,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.097411,0.208255,300.000000,
