time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
1.500000,0.000000,0.018197,45.650071,45.668218,150.727764,150.770146,150.526365,150.553820,0.000000,0.000000,0.173066,0.182639,0.152576,0.155593,0.049233,0.037052,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.770146,0.182639,300.000000,
1.600000,0.000000,0.018046,57.637663,57.655644,192.387546,192.481855,191.919536,191.943204,0.000000,0.000000,0.199914,0.210782,0.144850,0.147850,0.046195,0.034101,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.481855,0.210782,300.000000,
1.700000,0.000000,0.017995,65.130936,65.148840,224.957045,224.963692,224.929111,224.930518,0.000000,0.000000,0.214767,0.226287,0.112565,0.115054,0.047639,0.018095,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,224.963692,0.226287,300.000000,
1.800000,0.000000,0.017995,66.580791,66.598665,238.357803,238.470968,237.797472,237.721492,0.000000,0.000000,0.217322,0.228924,0.020164,0.021984,0.055863,0.001695,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,238.470968,0.228924,300.000000,
1.900000,0.000000,0.017995,64.733651,64.751493,234.810283,234.859903,234.562523,234.505555,0.000000,0.000000,0.213741,0.225152,0.109494,0.127680,0.075435,0.016433,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,234.859903,0.225152,300.000000,
2.000000,0.000000,0.004875,57.521694,57.516870,213.468186,213.589400,212.885952,212.695957,0.000000,0.000000,0.199119,0.209778,0.148019,0.172504,0.102385,0.032979,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,213.589400,0.209778,300.000000,
2.100000,0.000000,0.005367,45.137272,45.142572,169.344604,169.404952,169.052492,168.931953,0.000000,0.000000,0.171216,0.180505,0.158895,0.185246,0.113401,0.037514,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,169.404952,0.185246,300.000000,
2.200000,0.000000,0.012536,32.423247,32.435611,124.983168,124.996802,124.906958,124.872263,0.000000,0.000000,0.140995,0.148641,0.148300,0.174052,0.106455,0.033410,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.996802,0.174052,300.000000,
2.300000,0.000000,0.000178,19.068415,19.068240,74.598090,74.638979,74.405664,74.308152,0.000000,0.000000,0.108171,0.114184,0.122090,0.145392,0.081590,0.020177,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.638979,0.145392,300.000000,
2.400000,0.000000,0.002085,7.595702,7.597755,30.440438,30.428139,30.496076,30.525518,0.000000,0.000000,0.061639,0.064386,0.069090,0.078600,0.054514,0.009819,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.525518,0.078600,300.000000,
2.500000,0.000000,0.005459,1.803286,1.808660,7.864793,7.844466,7.955527,8.001019,0.000000,0.000000,0.040323,0.041933,0.045617,0.047038,0.029575,0.003319,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.001019,0.047038,300.000000,
2.600000,0.000000,1.686196,2.698022,1.123941,2.404520,3.036790,4.056708,4.029847,0.000000,0.041055,0.044341,0.030940,0.016744,0.048458,0.055831,0.007926,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.056708,0.055831,300.000000,
